dataset,epochs,way,train_shot,test_shot,dld,optimizer,x_dim,z_dim,lr,initialization,loss,in_alphabet,add_rotations,channels,trials,silent,split,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec,lr_target
covtype,10,7,10,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4814285714285715,433.70065569877625,0.001
covtype,10,7,10,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4842857142857143,423.81820130348206,0.0001
covtype,10,7,10,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4842857142857143,417.3549358844757,5e-05
covtype,10,7,10,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4442857142857142,425.39291048049927,0.001
covtype,10,7,10,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4457142857142857,428.5474109649658,0.0001
covtype,10,7,10,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4457142857142856,423.654337644577,5e-05
covtype,10,7,10,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.3557142857142857,413.0317575931549,0.001
covtype,10,7,10,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.3642857142857142,422.6336505413056,0.0001
covtype,10,7,10,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.3628571428571427,417.7773580551148,5e-05
covtype,10,7,10,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.48,433.8739120960236,0.001
covtype,10,7,10,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4742857142857142,417.6993455886841,0.0001
covtype,10,7,10,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4742857142857142,418.3978741168976,5e-05
covtype,10,7,10,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4828571428571427,431.957231760025,0.001
covtype,10,7,10,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4714285714285713,423.5867397785187,0.0001
covtype,10,7,10,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4728571428571428,426.18597435951233,5e-05
covtype,10,7,10,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4171428571428571,426.4482729434967,0.001
covtype,10,7,10,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4099999999999999,426.7327444553375,0.0001
covtype,10,7,10,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4114285714285713,435.682156085968,5e-05
covtype,10,7,50,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6257142857142858,1992.3187136650083,0.001
covtype,10,7,50,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6185714285714285,1975.248554944992,0.0001
covtype,10,7,50,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6185714285714285,2500.803634166717,5e-05
covtype,10,7,50,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6028571428571429,2577.634778499604,0.001
covtype,10,7,50,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5957142857142856,2012.73375582695,0.0001
covtype,10,7,50,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5971428571428572,2014.952439069748,5e-05
covtype,10,7,50,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5842857142857142,2023.9675343036647,0.001
covtype,10,7,50,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5842857142857142,2051.4799036979675,0.0001
covtype,10,7,50,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5857142857142857,2047.066688776016,5e-05
covtype,10,7,50,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6,1983.769132614136,0.001
covtype,10,7,50,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6057142857142856,2022.670027732849,0.0001
covtype,10,7,50,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6057142857142856,2059.1924710273743,5e-05
