dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,lr_target,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
svhn,10,10,1,1,32,2000,True,adam,0.001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.134,108.34938597679138
svhn,10,10,1,1,32,2000,True,adam,0.001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.128,108.87478828430176
svhn,10,10,1,1,32,2000,True,adam,0.0001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1339999999999999,108.38809156417848
svhn,10,10,1,1,32,2000,True,adam,0.0001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1249999999999999,105.60724306106567
svhn,10,10,1,1,32,2000,True,adam,0.0001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.126,108.139098405838
svhn,10,10,1,1,32,2000,True,adam,5e-05,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.133,108.25244998931883
svhn,10,10,1,1,32,2000,True,adam,5e-05,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1289999999999999,108.29724359512328
svhn,10,10,1,1,32,2000,True,adam,5e-05,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.128,108.52463889122008
svhn,10,10,10,1,32,1024,True,adam,0.001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.159,361.19092416763306
svhn,10,10,10,1,32,1024,True,adam,0.001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.142,365.6073839664459
svhn,10,10,10,1,32,1024,True,adam,0.001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.142,360.7802329063416
svhn,10,10,10,1,32,1024,True,adam,0.0001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1589999999999999,364.58639001846313
svhn,10,10,10,1,32,1024,True,adam,0.0001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.225,361.5544226169586
svhn,10,10,10,1,32,1024,True,adam,0.0001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.24,361.5114545822144
svhn,10,10,10,1,32,1024,True,adam,5e-05,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.144,369.8874559402466
svhn,10,10,10,1,32,1024,True,adam,5e-05,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.195,370.4027235507965
